stadium,lat,long
InfoCision Stadium-Summa Field,40.37212,-80.39124
Rentschler Field at Pratt & Whitney Stadium,41.7596263,-72.6188316
Skelly Field at H.A. Chapman Stadium,33.7943087,-117.8509844
Bill Snyder Family Football Stadium,39.202317,-96.594455
Merlin Olsen Field at Maverik Stadium,41.7516119,-111.8108799
Sonny Lubrick Field at Canvas Stadium,40.5698591,-105.0893442
United Airlines Field at Los Angeles Memorial Coliseum,34.01402664,-118.2879944
Davis Wade Stadium at Scott Field,39.9878395,-75.8029475
Capital One Field at Maryland Stadium,38.9902986,-76.9474534
Faurot Field at Memorial Stadium,40.0993177,-88.2367555
Mercedes-Benz Superdome,29.95104408,-90.08104706
GEHA Field at Arrowhead Stadium,39.0489405,-94.4849938
Rose Bowl,34.1613,-118.1676